date,transaction_id,customer_id,product,product_code,product_color,product_price,purchase_size,purchase_price,revenue
29-08-2020 00:00,9900,1980,fan,SKU83503,brass,$13.99,2,27.98,$27.98
01-05-2020 00:00,12415,2463,fan,SKU83503,brass,$13.99,2,27.98,$27.98
12-12-2020 00:00,9890,1978,fan,SKU83503,white,$13.99,1,13.99,$13.99
16-02-2020 00:00,44915,9383,fan,SKU83503,black,$13.99,1,13.99,$13.99
28-12-2020 00:00,44700,8940,fan,SKU83503,brass,$13.99,2,27.98,$27.98
28-12-2020 00:00,44700,8940,lamp,SKU95363,brass,$46.99,5,160.965,$229.95
11-10-2020 00:00,12560,2512,bed,SKU74796,brown,$799.99,1,799.99,$799.99
29-06-2020 00:00,9640,1928,couch,SKU31871,grey,"$1,000.00",1,1000,"$1,000.00"
10-11-2020 00:00,22620,4524,couch,SKU31871,grey,"$1,000.00",1,1000,"$1,000.00"
05-02-2020 00:00,49430,9886,couch,SKU31871,grey,"$1,000.00",1,1000,"$1,000.00"
06-02-2020 00:00,49075,9815,couch,SKU31871,blue,"$1,000.00",1,1000,"$1,000.00"
07-02-2020 00:00,37855,7571,couch,SKU31871,purple,"$1,000.00",1,1000,"$1,000.00"
08-02-2020 00:00,9900,1980,couch,SKU31871,white,"$1,000.00",1,1000,"$1,000.00"
09-02-2020 00:00,1675,335,couch,SKU31871,white,"$1,000.00",1,1000,"$1,000.00"
10-02-2020 00:00,23435,4687,couch,SKU31871,brown,"$1,000.00",1,1000,"$1,000.00"
11-02-2020 00:00,19105,3821,couch,SKU31871,black,"$1,000.00",1,1000,"$1,000.00"
12-02-2020 00:00,48035,9607,rug,SKU19092,beige,$89.85,3,269.55,$269.55
13-02-2020 00:00,31615,6323,rug,SKU19092,grey,$89.85,2,179.7,$179.70
14-02-2020 00:00,31775,6355,rug,SKU19092,grey,$89.85,1,89.85,$89.85
15-02-2020 00:00,21870,4374,rug,SKU19092,beige,$89.85,3,269.55,$269.55
16-02-2020 00:00,45400,9080,vase,SKU99037,green,$9.99,2,19.98,$19.98
17-02-2020 00:00,45400,9080,mirror,SKU97721,brass,$199.95,1,199.95,$199.95
18-02-2020 00:00,45400,9080,bookcase,SKU15757,brown,$55.89,1,58.89,$58.89
19-02-2020 00:00,26530,5306,desk,SKU40294,brown,$169.95,1,169.95,$169.95
20-02-2020 00:00,14080,2816,desk,SKU40294,brown,$169.95,1,169.95,$169.95
21-02-2020 00:00,6340,1268,desk,SKU40294,white,$169.95,1,169.95,$169.95
22-02-2020 00:00,21485,4297,chair,SKU99664,black,$234.50,1,234.5,$234.50
